City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
325,salahonda,2.1019,-78.7217,26.12,76,35,6.05,CO,1732049178
326,cuyo,10.8525,121.0086,28.38,79,37,11.12,PH,1732048954
327,kiunga,-6.1219,141.2906,23.46,96,61,0.37,PG,1732049181
328,lazaro cardenas,17.9583,-102.2,27.9,76,47,2.03,MX,1732049112
329,maintirano,-18.0667,44.0167,27.03,81,90,5.3,MG,1732049184
330,knyaze-volkonskoye,48.4642,135.4567,-11.81,66,15,3.12,RU,1732049185
331,codrington,-38.2667,141.9667,12.72,65,100,5.39,AU,1732049186
332,toliara,-23.35,43.6667,25.17,83,54,2.34,MG,1732049188
333,cabo san lucas,22.8909,-109.9124,24.17,53,0,3.09,MX,1732049189
334,lenti,46.624,16.5386,6.64,95,48,5.22,HU,1732049190
335,nova sintra,14.8667,-24.7167,25.91,80,5,6.59,CV,1732049191
336,dolinsk,47.35,142.8,-3.92,75,0,2.84,RU,1732049192
337,labuan,5.2767,115.2417,27.2,78,20,0.51,MY,1732049194
338,galeana,24.8333,-100.0667,21.42,34,3,1.69,MX,1732049195
339,champasak,14.75,106.0,21.06,91,58,0.34,LA,1732049196
340,isangel,-19.55,169.2667,24.78,68,25,4.41,VU,1732049197
341,magadan,59.5667,150.8,-8.93,92,100,3.65,RU,1732049198
342,leongatha,-38.4833,145.95,11.24,73,87,0.39,AU,1732049199
343,ballina,-28.8667,153.5667,20.51,76,100,5.4,AU,1732049201
344,newborough,52.6389,-0.2233,1.68,85,100,5.14,GB,1732049202
345,vilyuchinsk,52.9306,158.4028,-7.85,83,11,3.68,RU,1732049203
346,brasileia,-11.0161,-68.7481,30.25,70,75,1.54,BR,1732049204
347,nasir,15.5894,32.5634,25.67,21,38,7.98,SD,1732049205
348,tralee,52.2704,-9.7026,4.02,88,100,3.04,IE,1732049206
349,chui,-33.6971,-53.4616,17.39,71,100,3.59,UY,1732049208
350,taman',45.2117,36.7161,9.23,75,17,3.38,RU,1732049209
351,harstad,68.799,16.5293,0.64,74,100,15.2,NO,1732049210
